"artist_name","title","release","song_hotttnesss","tempo","loudness","energy","danceability","duration","artist_familiarity","artist_hotttnesss","artist_latitude","artist_location","artist_longitude","end_of_fade_in","key","key_confidence","song_id","start_of_fade_out","time_signature","time_signature_confidence","track_id"
"Prince & The New Power Generation (with Eric Leeds on Flute)","Gett Off (Extended Remix)","Gett Off",NA,90,-10.223,0,0,513.61914,0.831928948528261,0.594627866943905,NA,"Minneapolis, MN",NA,2.664,7,0.281,"SOHTIZI12A8C13B684",513.619,4,0.918,"TRCNHPT128F429D251"
"Prince & The Revolution","Erotic City ( LP Version)","The Hits/The B-Sides 3",0.471971171793542,125,-6.337,0,0,235.49342,0.684808063021141,0.485444750547878,NA,"",NA,0.226,8,0.051,"SOAYSJV12A58A7D20C",228.647,4,0.782,"TRCMKHF128F1495E27"
"Prince","Take Me With U (LP Version)","Purple Rain",0.617336894789395,122,-10.133,0,0,234.13506,0.831928948528261,0.594627866943905,NA,"Minneapolis, MN",NA,0,2,0.735,"SOZGMQN12A8C13C15A",214.651,4,0.366,"TRCMHGA128F429C5F3"
"Prince","Ronnie_ Talk To Russia (LP Version)","Controversy",0.535106024897857,165,-15.931,0,0,118.282,0.831928824933424,0.594627866943905,NA,"Minneapolis, MN",NA,0,2,0.786,"SOCWEPB12A58A7BFD1",115.212,4,0.191,"TRCQFXO128F429C5E6"
"Prince & The Revolution","Kiss (LP Version)","Parade - Music From The Motion Picture Under The Cherry Moon",NA,111,-9.447,0,0,218.09587,0.684808063021141,0.485444750547878,NA,"",NA,0.195,9,0.077,"SOOMWOI12A81C233B3",218.096,4,1,"TRCLRVP128F429D233"
"Prince","I Feel For You","The Hits 1",0.762336104614071,120,-12.145,0,0,204.25098,0.831928824933424,0.594627866943905,NA,"Minneapolis, MN",NA,0.125,11,0.415,"SOCMHSX12A58A7BF36",188.68,4,0.932,"TRCLVTA128F423CB6F"
"Prince","Graffiti Bridge (LP Version)","Music From Graffiti Bridge",NA,140,-8.615,0,0,231.88853,0.831928948528261,0.594627866943905,NA,"Minneapolis, MN",NA,0,1,0.503,"SOGSPCF12A8C13E837",227.532,4,0.324,"TRCKJBS128F429C624"
"Prince & The Revolution","Pop Life [Fresh Dance Mix]","Ultimate",0.419125892959156,100,-5.69,0,0,379.11465,0.684808063021141,0.485444750547878,NA,"",NA,5.764,1,0.724,"SOQFOZG12A58A7AB9E",373,4,0,"TRCBGQP12903C9AE8B"
"Prince","Orgasm (LP Version)","Come",0.468997787645256,109,-13.099,0,0,99.23873,0.831928824933424,0.590354971821958,NA,"Minneapolis, MN",NA,0,4,0.026,"SORAPZT12A58A7CAC6",95.933,5,0.584,"TRCPUWC128F429C62F"
"Prince & The Revolution","Let's Go Crazy [Special Dance Mix]","Let's Go Crazy",0.444401714522851,98,-4.832,0,0,455.07873,0.684808063021141,0.485444750547878,NA,"",NA,0.33,11,0.717,"SONDECH12A6D4F86F7",450.432,4,0.711,"TRCYNHX128F429D262"
