"","title","tempo","loudness","song_hotttnesss"
"131226","Purple Rain",114,-11.192,0.855857972638842
"450994","Gett Off (Flutestramental)",110,-13.218,0.819692259363382
"600139","Little Red Corvette (LP Version)",123,-10.087,0.813104730416443
"777231","Let's Go Crazy (LP Version)",97,-6.556,0.791196298200113
"835195","Raspberry Beret",120,-8.279,0.781656752804473
"810791","Strange Relationship ( LP Version )",95,-15.438,0.765958903495756
"10254","I Feel For You",120,-12.145,0.762336104614071
"457617","Pink Cashmere ( LP Version)",167,-8.424,0.75355735723824
"895366","I Would Die 4 U",135,-9.703,0.724032211581315
"100596","Hot Thing ( LP Version )",108,-6.903,0.70586337023954
"630513","Uptown (LP Version)",125,-14.415,0.70087266674762
"836434","I Wanna Be Your Lover (LP Version)",114,-12.779,0.690891510321053
"922219","Cream ( LP Version W/O Rap Monologue )",115,-3.691,0.669094082975333
"505302","The Ladder (LP Version)",126,-13.782,0.655945649706835
"824123","Diamonds And Pearls [Edit]",162,-7.468,0.652010036818513
"913801","Dirty Mind (Album Version)",131,-12.447,0.633130699795491
"7382","Take Me With U (LP Version)",122,-10.133,0.617336894789395
"828725","Money Don't Matter 2 Night",110,-8.586,0.616067946746204
"747010","Sexy M.F. (LP Version)",106,-7.022,0.611050049949363
"712576","Why You Wanna Treat Me So Bad?",126,-10.781,0.606594996280261
"146359","Extraordinary (LP Version)",89,-4.932,0.600556103296989
"822946","Play In The Sunshine ( LP Version )",98,-13.425,0.600220639864424
"185293","Slow Love ( LP Version )",95,-15.2,0.598947038598771
"882949","The Ballad Of Dorothy Parker ( LP Version )",102,-12.14,0.598688452765606
"463944","Gotta Broken Heart Again (LP Version)",146,-14.898,0.583401231014463
"820665","Sexuality (LP Version)",196,-17.235,0.560630516218325
"91463","Fury",131,-2.881,0.55844174692148
"859550","How Come U Don't Call Me Anymore (LP Version)",123,-12.678,0.554384121183937
"417728","Electric Chair (LP Version)",101,-10.3,0.545230293898361
"236236","Jack U Off (LP Version)",102,-16.089,0.540009276927365
"829319","When We're Dancing Close And Slow (LP Version)",89,-18.032,0.540009276927365
"7961","Ronnie_ Talk To Russia (LP Version)",165,-15.931,0.535106024897857
"101578","I Wonder U (LP Version)",202,-14.736,0.5324827075077
"914198","Anotherloverholenyohead (LP Version)",103,-11.804,0.5324827075077
"934667","Kiss [Extended Version]",111,-6.625,0.53238942030914
"223568","Still Waiting (LP Version)",116,-15.675,0.530663030144149
"94915","With You (LP Version)",78,-17.029,0.528782480942588
"429408","The Beautiful Ones (LP Version)",145,-12.364,0.527818136556487
"55293","I Wanna Be Your Lover [Single Version]",115,-7.165,0.526837034062893
"463081","It's Gonna Be Lonely (LP Version)",159,-12.834,0.526837034062893
"504819","Tamborine (LP Version)",119,-14.662,0.524822258190511
"308966","Shockadelica ( LP Version)",109,-9.006,0.520564622443016
"625608","Christopher Tracy's Parade (LP Version)",123,-14.109,0.518310319320753
"39293","Venus De Milo (LP Version)",93,-26.068,0.512253654303305
"197030","Life Can Be So Nice (LP Version)",117,-12.142,0.510962044002151
"301060","Horny Toad ( LP Version)",104,-10.302,0.506905064197484
"365870","Hello ( LP Version)",123,-8.551,0.506905064197484
"304359","Do U Lie?  (LP Version)",95,-19.035,0.505487343149376
"771947","I Love U In Me ( LP Version)",93,-15.268,0.504034340805441
"95033","Temptation (LP Version)",86,-15.259,0.497833214570029
"246268","La_ La_ La_ He_ He_ Hee ( LP Version)",117,-9.341,0.497833214570029
"514632","I Would Die 4 U (Single Version)",135,-9.261,0.496175335673293
"557609","Escape ( LP Version)",119,-9.754,0.492713639572561
"49422","Hot Thing [Extended Remix]",109,-5.152,0.487112194863463
"249393","Let's Work (LP Version)",119,-14.289,0.487112194863463
"871646","Raspberry Beret [Extended 12"" Version]",121,-7.313,0.485761152925018
"114482","Loose! (LP Version)",126,-5.25,0.485122364101821
"196081","Power Fantastic ( LP Version)",82,-14.503,0.483064559600233
"407861","Still Would Stand All Time ( LP Version )",113,-10.944,0.48093421280894
"926171","New Power Generation ( LP Version )",111,-8.781,0.48093421280894
"808377","Little Red Corvette (LP Version)",122,-14.231,0.48074695804339
"361460","Come ( LP Version)",91,-5.896,0.476435219642529
"6684","Erotic City ( LP Version)",125,-6.337,0.471971171793542
"448181","Tick_ Tick_ Bang ( LP Version )",99,-10.693,0.47157824770058
"32166","Orgasm (LP Version)",109,-13.099,0.468997787645256
"868231","Old Friends 4 Sale (LP Version)",77,-5.156,0.457447167085101
"900756","When The Lights Go Down (LP Version)",123,-7.327,0.454192988218022
"248490","Sarah (LP Version)",127,-1.562,0.447135796286178
"37302","Let's Go Crazy [Special Dance Mix]",98,-4.832,0.444401714522851
"646344","Melody Cool ( LP Version )",114,-8.833,0.439202489315343
"124286","There Is Lonely (LP Version)",122,-5.185,0.434838090260856
"727979","My Little Pill (LP Version)",87,-11.827,0.434838090260856
"577316","Round and Round ( LP Version )",107,-10.485,0.430160637018456
"27581","Pop Life [Fresh Dance Mix]",100,-5.69,0.419125892959156
"755638","Erotic City (Make Love Not War Erotic City Come Alive) (Original 12""  Version)",123,-5.555,0.40148671142756
"306528","Gett Off",99,-7.22,0.4008629779458
"465973","She's Always In My Hair [12"" Version]",92,-4.989,0.386477291255459
"160168","Raspberry Beret (LP Version)",120,-7.69,0.323112120895212
"330548","Love Or Money",113,-13.186,0.323112120895212
"154972","Kiss (LP Version)",111,-7.239,0.299877488273978
"837163","Hello (12"" Extended Remix Version)",123,-10.328,0.299877488273978
"213393","Violet The Organ Grinder (LP Version)",100,-11.319,0.243202886507212
"334030","Gangster Glam (LP Version)",99,-10.925,0.220258389675226
"792197","Clockin' The Jizz ( Instrumental Version )",99,-10.392,0.216978419595235
"58769","Let's Go Crazy (LP Version)",98,-10.447,0
